compound_chembl_id,compound_name
CHEMBL1596655,
CHEMBL1346165,
CHEMBL1398812,
CHEMBL1302799,
CHEMBL1429070,
CHEMBL1359099,
CHEMBL1379673,
CHEMBL1468444,
CHEMBL1604510,
CHEMBL1970784,
CHEMBL1971695,
CHEMBL1369691,
CHEMBL3195851,
CHEMBL1455256,
CHEMBL1310204,
CHEMBL1501273,
CHEMBL1975147,
CHEMBL1586067,
CHEMBL1419680,
CHEMBL1504676,
CHEMBL1977499,
CHEMBL1462008,
CHEMBL1367178,
CHEMBL1547468,
CHEMBL1540557,
CHEMBL1594911,
CHEMBL1477915,
CHEMBL1380339,
CHEMBL3197404,
CHEMBL1576236,
CHEMBL1701437,
CHEMBL1586687,
CHEMBL1583108,
CHEMBL1316798,
CHEMBL1576602,
CHEMBL1492819,
CHEMBL1576905,
CHEMBL1573529,
CHEMBL1713654,
CHEMBL1991136,
CHEMBL1499258,
CHEMBL1466606,
CHEMBL1733692,
CHEMBL1407632,
CHEMBL3195681,
CHEMBL1564363,
CHEMBL1506234,
CHEMBL1388372,
CHEMBL1557186,
CHEMBL1466913,
CHEMBL1580769,
CHEMBL1481417,
CHEMBL1542169,
CHEMBL1353321,
CHEMBL1342181,
CHEMBL2002008,
CHEMBL1725987,
CHEMBL1725983,
CHEMBL2001481,
CHEMBL1581326,
CHEMBL1789978,
CHEMBL1345866,
CHEMBL1726231,
CHEMBL2004884,
CHEMBL1313968,
CHEMBL1574521,
CHEMBL1311198,
CHEMBL1408792,
CHEMBL1550816,
CHEMBL1425538,
CHEMBL1362935,
CHEMBL1356785,
CHEMBL210208,PYROGALLOL RED
CHEMBL1969707,
CHEMBL1601846,
CHEMBL66953,PURPUROGALLIN
CHEMBL1730974,
CHEMBL1563898,
CHEMBL1190214,
CHEMBL1427775,
CHEMBL1424694,
